url,old,new
https://nmgtechnologies.com/hs-fs/hubfs/london-logo.png?width=168&height=50&name=london-logo.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/79288942228/1779279328752/template_theme-overrides.min.css,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/73070272305/1742178316839/template_slider.min.css,N/A,Needs Manual Review
https://nmgtechnologies.com/hs-fs/hubfs/clutch-global.png.png?width=161&height=138&name=clutch-global.png.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hs-fs/hubfs/framework_17920711.png?width=50&height=50&name=framework_17920711.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/Pubnub.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hs-fs/hubfs/star-ratinng.png?width=116&name=star-ratinng.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hs-fs/hubfs/cloud_4237040.png?width=50&height=50&name=cloud_4237040.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hs/hsstatic/HubspotToolsMenu/static-1.640/js/index.js,N/A,Needs Manual Review
https://nmgtechnologies.com/hs-fs/hubfs/cloud_11248494.png?width=50&height=50&name=cloud_11248494.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/blog-home-img.webp,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/hub_generated/module_assets/1/79286377522/1742210702901/module_menu-section.min.js,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/73076382577/1742178318598/template_jquery-2.2.0.min.js,N/A,Needs Manual Review
https://nmgtechnologies.com/hs-fs/hubfs/cloud-computing_17092326.png?width=50&height=50&name=cloud-computing_17092326.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/hub_generated/module_assets/1/79287966637/1742210709720/module_lead-text.min.css,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/top-healthcare.svg,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/testimonial06.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hs-fs/hubfs/artificial-intelligence_17027211.png?width=50&height=50&name=artificial-intelligence_17027211.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hs-fs/hubfs/forbes_badge_footer.png?width=199&height=121&name=forbes_badge_footer.png,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/hub_generated/module_assets/1/79286758824/1742210705726/module_clients.min.css,N/A,Needs Manual Review
https://nmgtechnologies.com/hubfs/hub_generated/module_assets/1/186622679813/1743678246986/module_Testimonial_Home_Page.min.js,N/A,Needs Manual Review
